"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"glucono_lactone",20.827,6.5363e-07,6.1847,0.00013385,"pct02 - pct00; pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct06; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18; pct10 - pct18"
"glutathione_disulfide_nega",19.902,9.168e-07,6.0377,0.00013385,"pct06 - pct00; pct10 - pct00; pct14 - pct00; pct18 - pct00; pct06 - pct02; pct10 - pct02; pct14 - pct02; pct18 - pct02"
"serine",16.266,3.9809e-06,5.4,0.00036917,"pct00 - pct06; pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct06; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"N_carbamoyl_L_aspartate",15.727,5.0571e-06,5.2961,0.00036917,"pct06 - pct00; pct00 - pct10; pct00 - pct14; pct00 - pct18; pct06 - pct02; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"x2_hydroxygluterate",12.724,2.1846e-05,4.6606,0.0012325,"pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"D_gluconate",12.074,3.1008e-05,4.5085,0.0012325,"pct02 - pct00; pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct06; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"glutathione_disulfide_posi",12.063,3.1205e-05,4.5058,0.0012325,"pct06 - pct00; pct10 - pct00; pct14 - pct00; pct18 - pct00; pct10 - pct02; pct14 - pct02; pct18 - pct02; pct14 - pct06; pct18 - pct06"
"S_ribosyl_L_homocysteine_posi",11.715,3.7853e-05,4.4219,0.0012325,"pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"S_methyl_5_thioadenosine",11.709,3.7988e-05,4.4204,0.0012325,"pct00 - pct02; pct00 - pct06; pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct14; pct18 - pct14"
"Creatinine",11.469,4.349e-05,4.3616,0.0012699,"pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
"Phosphorylcholine",11.091,5.4086e-05,4.2669,0.0014357,"pct10 - pct00; pct14 - pct00; pct18 - pct00; pct14 - pct02; pct18 - pct02; pct14 - pct06; pct18 - pct06; pct18 - pct10; pct18 - pct14"
"Maleic_acid",10.653,7.0121e-05,4.1541,0.0016891,"pct00 - pct10; pct00 - pct14; pct00 - pct18; pct02 - pct10; pct02 - pct14; pct02 - pct18; pct06 - pct10; pct06 - pct14; pct06 - pct18"
